headword	raw_string	response	verification	comment	attempts
accomplish	accomplish(ment) v./(n.)	"{""headword"":""accomplish"",""explanation"":""動詞「完成、達成」；名詞 accomplishment 「成就、才能」。常用於達成目標、完成任務。注意 accomplish 側重於透過努力完成某事，而 achieve 則更強調達成一個高水準的目標或地位。"",""entries"":[{""sentence"":""By working hard and managing their time effectively, the students were able to <target>accomplish</target> all their assignments before the deadline."",""translation"":""透過努力工作並有效地管理時間，學生們能夠在截止日期前完成所有作業。"",""explanation"":""動詞「完成」。指完成設定的任務或作業。""},{""sentence"":""The team felt a great sense of pride after they <target>accomplished</target> <pattern>their goal of</pattern> winning the national debate competition."",""translation"":""在贏得全國辯論比賽的目標後，團隊感到非常自豪。"",""explanation"":""動詞「達成」。常用搭配 accomplish one's goal (達成某人的目標)。""},{""sentence"":""Learning a second language is a significant <target>accomplishment</target> that requires years of dedication, practice, and persistence."",""translation"":""學習第二語言是一項重大的成就，需要多年的奉獻、練習和堅持。"",""explanation"":""名詞「成就」。指透過努力而獲得的成果。""},{""sentence"":""Besides her academic success, her ability to play the piano beautifully is one of her most impressive <target>accomplishments</target>."",""translation"":""除了學業上的成功，她能優美地彈奏鋼琴是她最令人印象深刻的才能之一。"",""explanation"":""名詞「才能」。指個人擁有的技能或才藝。""}],""related_forms"":[""accomplishment"",""accomplished""]}"	none		0
accountant	accountant n.	"{""headword"":""accountant"",""explanation"":""名詞「會計師」。指負責記錄、分析和審計財務記錄的專業人士。"",""entries"":[{""sentence"":""After graduating from the university with a degree in finance, Sarah decided to become a certified public <target>accountant</target>."",""translation"":""在大學獲得財務學位畢業後，莎拉決定成為一名特許公共會計師。"",""explanation"":""名詞「會計師」。指專業的財務管理人員。""},{""sentence"":""The small business owner hired a professional <target>accountant</target> to help him <pattern>manage</pattern> his <pattern>taxes</pattern> and financial records accurately."",""translation"":""這家小企業主聘請了一名專業會計師來幫助他準確地管理稅務和財務記錄。"",""explanation"":""名詞「會計師」。常用搭配 manage taxes (管理稅務)。""},{""sentence"":""The company's <target>accountant</target> spent the entire week analyzing the budget to find ways to reduce unnecessary expenses."",""translation"":""公司的會計師花了一整週分析預算，以尋找減少不必要開支的方法。"",""explanation"":""名詞「會計師」。描述其分析預算的工作內容。""}],""related_forms"":[""accounting""]}"	none		0
accuracy	accuracy n.	"{""headword"":""accuracy"",""explanation"":""名詞「準確性、精確度」。常用於描述數據、翻譯或預測的精確程度。形容詞為 accurate。"",""entries"":[{""sentence"":""The scientist checked the data several times to ensure the <target>accuracy</target> <pattern>of</pattern> the experimental results before publishing the report."",""translation"":""科學家在發表報告前多次檢查數據，以確保實驗結果的準確性。"",""explanation"":""名詞「準確性」。常用搭配 accuracy of sth (某事的準確性)。""},{""sentence"":""In the translation exam, students are graded not only on their fluency but also on the <target>accuracy</target> of their vocabulary choice."",""translation"":""在翻譯考試中，學生不僅根據流利度，還根據詞彙選擇的準確性來評分。"",""explanation"":""名詞「精確度」。指對原意的準確傳達。""},{""sentence"":""The new weather forecasting system has improved the <target>accuracy</target> <pattern>of</pattern> long-term predictions, helping farmers plan their crops better."",""translation"":""新的天氣預報系統提高了長期預測的準確性，幫助農民更好地規劃農作物。"",""explanation"":""名詞「準確性」。常用搭配 accuracy of predictions (預測的準確性)。""}],""related_forms"":[""accurate"",""accurately""]}"	none		0
accuse	accuse v.	"{""headword"":""accuse"",""explanation"":""動詞「指控、控告」。常用句型 accuse someone of something (指控某人某事)。注意介係詞必須使用 of，不能用 for。"",""entries"":[{""sentence"":""The teacher had to <target>accuse</target> the student <pattern>of</pattern> cheating on the final exam after finding a cheat sheet under his desk."",""translation"":""在書桌下發現作弊條後，老師不得不指控該學生在期末考試中作弊。"",""explanation"":""動詞「指控」。常用句型 accuse someone of doing sth (指控某人做某事)。""},{""sentence"":""It is unfair to <target>accuse</target> someone <pattern>of</pattern> theft without having any concrete evidence to support the claim."",""translation"":""在沒有任何具體證據支持主張的情況下指控他人偷竊是不公平的。"",""explanation"":""動詞「指控」。常用句型 accuse someone of sth (指控某人某事)。""},{""sentence"":""The company was <target>accused</target> <pattern>of</pattern> polluting the local river by dumping chemical waste illegally into the water."",""translation"":""該公司被指控非法將化學廢料排入水中，污染了當地河流。"",""explanation"":""動詞「指控」。此處為被動語態 be accused of (被指控)。""}],""related_forms"":[""accusation"",""accuser""]}"	none		0
acid	acid n./adj.	"{""headword"":""acid"",""explanation"":""名詞「酸」；形容詞「酸的」或「尖酸的」。在科學語境中指 pH 值低於 7 的物質；在描述語言或態度時，指刻薄或尖銳。"",""entries"":[{""sentence"":""In the chemistry lab, the students learned that lemon juice contains citric <target>acid</target>, which gives it a sour taste."",""translation"":""在化學實驗室中，學生們了解到檸檬汁含有檸檬酸，這使其具有酸味。"",""explanation"":""名詞「酸」。指化學上的酸性物質。""},{""sentence"":""The soil in this region is too <target>acid</target> for some types of plants to grow, so farmers must add lime to balance it."",""translation"":""這個地區的土壤對於某些類型的植物來說太酸了，因此農民必須添加石灰來平衡。"",""explanation"":""形容詞「酸的」。描述物質的化學性質。""},{""sentence"":""The critic's <target>acid</target> <pattern>remarks</pattern> about the new movie offended the director and sparked a heated debate in the media."",""translation"":""評論家對這部新電影的尖酸評論冒犯了導演，並在媒體中引起了激烈的辯論。"",""explanation"":""形容詞「尖酸的」。常用搭配 acid remarks/comments (尖酸的評論)。""}],""related_forms"":[""acidic"",""acidity""]}"	none		0
acquaintance	acquaintance n.	"{""headword"":""acquaintance"",""explanation"":""名詞「熟人」或「認識」。指不如朋友親密的人。常用片語 make someone's acquaintance (認識某人)。"",""entries"":[{""sentence"":""Although he has many <target>acquaintances</target> from his time at university, he only has a few close friends he can truly trust."",""translation"":""儘管他在大學期間有很多熟人，但他只有幾個真正可以信任的親密朋友。"",""explanation"":""名詞「熟人」。指認識但關係不深的人。""},{""sentence"":""I only have a passing <target>acquaintance</target> <pattern>with</pattern> the history of ancient Rome, so I cannot answer your detailed questions."",""translation"":""我對古羅馬歷史僅有初步的了解，因此無法回答你的詳細問題。"",""explanation"":""名詞「認識/了解」。常用搭配 have an acquaintance with sth (對某事有了解)。""},{""sentence"":""The two businessmen were pleased to <pattern>make</pattern> each other's <target>acquaintance</target> during the international trade fair in Tokyo."",""translation"":""這兩位商人很高興在東京的國際貿易展覽會上認識彼此。"",""explanation"":""名詞「認識」。常用片語 make someone's acquaintance (認識某人)。""}],""related_forms"":[""acquaint"",""acquainted""]}"	none		0
acquire	acquire v.	"{""headword"":""acquire"",""explanation"":""動詞「獲得、習得」。常用於獲得知識、技能、語言或財產。注意 acquire 側重於透過時間、努力或過程而逐漸獲得。"",""entries"":[{""sentence"":""Students can <target>acquire</target> <pattern>essential skills</pattern> such as critical thinking and problem-solving through active participation in class discussions."",""translation"":""學生可以透過積極參與課堂討論，習得批判性思考和解決問題等基本技能。"",""explanation"":""動詞「習得」。常用搭配 acquire skills (習得技能)。""},{""sentence"":""It takes many years of practice for a person to <target>acquire</target> <pattern>fluency in</pattern> a foreign language."",""translation"":""一個人需要多年的練習才能掌握一門外語的流利度。"",""explanation"":""動詞「習得」。常用搭配 acquire fluency in (掌握...的流利度)。""},{""sentence"":""The museum worked for decades to <target>acquire</target> <pattern>rare artifacts</pattern> from around the world to enhance its historical collection."",""translation"":""該博物館數十年來致力於從世界各地獲取稀有文物，以豐富其歷史收藏。"",""explanation"":""動詞「獲得」。指獲取具體的物品。""}],""related_forms"":[""acquisition"",""acquisitive""]}"	none		0
adapt	adapt v.	"{""headword"":""adapt"",""explanation"":""動詞「適應」或「改編」。常用搭配 adapt to (適應...)。注意 adapt (適應) 與 adopt (採取/領養) 容易混淆。"",""entries"":[{""sentence"":""Moving to a new city can be challenging, but most students eventually <target>adapt</target> <pattern>to</pattern> the local environment and lifestyle."",""translation"":""搬到一個新城市可能具有挑戰性，但大多數學生最終會適應當地的環境和生活方式。"",""explanation"":""動詞「適應」。常用搭配 adapt to sth (適應某事)。""},{""sentence"":""Many animals have developed unique physical features to <target>adapt</target> <pattern>to</pattern> the extreme cold of the Arctic region."",""translation"":""許多動物已經發展出獨特的身體特徵，以適應北極地區的極端寒冷。"",""explanation"":""動詞「適應」。指生物演化以生存。""},{""sentence"":""The famous novel was <target>adapted</target> <pattern>into</pattern> a movie, but some fans felt the film changed too many important plot details."",""translation"":""這部著名小說被改編成了電影，但一些粉絲覺得電影改變了太多重要的情節細節。"",""explanation"":""動詞「改編」。常用搭配 adapt into (改編成)。""}],""related_forms"":[""adaptation"",""adaptable"",""adaptability""]}"	none		0
addict	addict n./v.	"{""headword"":""addict"",""explanation"":""名詞「上癮者」；動詞「使上癮」。常考片語 be addicted to (對...上癮)。注意名詞 addict 指的是人，而 addiction 指的是上癮這種狀態。"",""entries"":[{""sentence"":""The documentary warned that many teenagers are becoming smartphone <target>addicts</target>, spending hours scrolling through social media every day."",""translation"":""這部紀錄片警告說，許多青少年正成為智慧型手機上癮者，每天花好幾個小時瀏覽社群媒體。"",""explanation"":""名詞「上癮者」。指對某物產生依賴的人。""},{""sentence"":""He realized he had become a caffeine <target>addict</target> when he found it impossible to concentrate on his work without a cup of coffee."",""translation"":""當他發現沒有一杯咖啡就無法集中注意力工作時，他意識到自己已經成了一個咖啡上癮者。"",""explanation"":""名詞「上癮者」。""},{""sentence"":""Many people are <target>addicted</target> <pattern>to</pattern> online gaming, which can lead to a lack of sleep and poor performance in school."",""translation"":""許多人對線上遊戲上癮，這可能導致睡眠不足和學校表現不佳。"",""explanation"":""形容詞/分詞「上癮的」。常用句型 be addicted to sth (對某事上癮)。""}],""related_forms"":[""addiction"",""addictive""]}"	none		0
adequate	adequate adj.	"{""headword"":""adequate"",""explanation"":""形容詞「足夠的、適當的」。指在數量或品質上達到最低要求。注意 adequate 僅表示「夠用」，而 sufficient 則較正式且常用於數量，ample 則表示「充足且有餘」。"",""entries"":[{""sentence"":""The school ensures that every student has <target>adequate</target> <pattern>access to</pattern> the library resources needed for their research projects."",""translation"":""學校確保每位學生都能獲得研究專案所需的充足圖書館資源。"",""explanation"":""形容詞「足夠的」。常用搭配 adequate access to (充足的獲取管道)。""},{""sentence"":""Without <target>adequate</target> <pattern>preparation</pattern>, it is very difficult for students to perform well in a high-pressure exam like the GSAT."",""translation"":""如果沒有充分的準備，學生很難在像學測這樣的高壓考試中表現良好。"",""explanation"":""形容詞「充分的」。常用搭配 adequate preparation (充分的準備)。""},{""sentence"":""The emergency shelter provided <target>adequate</target> <pattern>food and water</pattern> for the victims of the earthquake during the first few days."",""translation"":""緊急避難所為地震災民在最初幾天提供了足夠的食物和水。"",""explanation"":""形容詞「足夠的」。指滿足基本需求。""}],""related_forms"":[""adequately"",""adequacy""]}"	none		0
adjust	adjust(ment) v./(n.)	"{""headword"":""adjust"",""explanation"":""動詞意為「調整」或「適應」。當指調整物理位置或設定時，常用 adjust sth；當指適應新環境時，常用 adjust to sth。名詞形式為 adjustment，常用搭配 make an adjustment to sth。"",""entries"":[{""sentence"":""The new student spent a few weeks trying to <target>adjust</target> <pattern>to</pattern> the strict rules and fast pace of the high school."",""translation"":""新學生花了幾個星期試圖適應高中的嚴格規定和快節奏。"",""explanation"":""動詞「適應」。常用搭配 adjust to sth。""},{""sentence"":""You can <target>adjust</target> the height of the chair to make it more comfortable for your back while studying for long hours."",""translation"":""你可以調整椅子的高度，讓你在長時間學習時背部更舒適。"",""explanation"":""動詞「調整」。指改變某物的設定或位置以達到理想狀態。""},{""sentence"":""The company had to <pattern>make</pattern> a few <target>adjustments</target> <pattern>to</pattern> the original plan to reduce costs and improve efficiency."",""translation"":""公司必須對原計劃進行一些調整，以降低成本並提高效率。"",""explanation"":""名詞「調整」。常用搭配 make an adjustment to sth。""},{""sentence"":""It often takes time for people to <target>adjust</target> <pattern>to</pattern> a new climate when they move to a different country for the first time."",""translation"":""人們第一次搬到不同的國家時，通常需要時間來適應新的氣候。"",""explanation"":""動詞「適應」。""}],""related_forms"":[""adjustment"",""adjustable""]}"	none		0
admirable	admirable adj.	"{""headword"":""admirable"",""explanation"":""形容詞，意為「令人欽佩的」或「值得讚賞的」。通常用來描述某人的品質、行為或成就。注意與 admirer (欽佩者) 的區別。"",""entries"":[{""sentence"":""Her <target>admirable</target> courage in the face of great difficulty inspired many of her classmates to never give up on their dreams."",""translation"":""她在面對巨大困難時那令人欽佩的勇氣，激勵了許多同學永不放棄自己的夢想。"",""explanation"":""形容詞「令人欽佩的」。常用於描述特質或行為。""},{""sentence"":""The volunteers showed <target>admirable</target> dedication by spending their entire summer helping the homeless people in the city."",""translation"":""志工們投入整個夏天幫助城市裡的無家可歸者，表現出令人讚賞的奉獻精神。"",""explanation"":""形容詞「值得讚賞的」。""},{""sentence"":""It is <target>admirable</target> that he decided to donate most of his savings to the local orphanage to help children in need."",""translation"":""他決定將大部分積蓄捐給當地孤兒院以幫助需要幫助的孩子，這令人欽佩。"",""explanation"":""形容詞「令人欽佩的」。常用句型 It is admirable that...""}],""related_forms"":[""admire"",""admiration""]}"	none		0
admiration	admiration n.	"{""headword"":""admiration"",""explanation"":""名詞，意為「欽佩」或「讚賞」。常用搭配 have admiration for someone 或 look at someone with admiration。"",""entries"":[{""sentence"":""The young artist looked at the famous painting with deep <target>admiration</target>, wondering how the creator could capture such emotion."",""translation"":""年輕的藝術家以深深的欽佩之情注視著這幅名畫，好奇創作者如何能捕捉到如此強烈的情感。"",""explanation"":""名詞「欽佩」。常用搭配 with admiration。""},{""sentence"":""Many students have great <target>admiration</target> <pattern>for</pattern> their teacher because of her passion for teaching and her kindness to everyone."",""translation"":""許多學生非常欽佩他們的老師，因為她對教學的熱情以及對每個人的友善。"",""explanation"":""名詞「欽佩」。常用搭配 have admiration for someone。""},{""sentence"":""His hard work and honesty won the <target>admiration</target> of everyone in the office, leading to his quick promotion to manager."",""translation"":""他的勤奮與誠實贏得了辦公室所有人的欽佩，使他很快被晉升為經理。"",""explanation"":""名詞「欽佩」。常用搭配 win the admiration of someone。""}],""related_forms"":[""admire"",""admirable""]}"	none		0
admission	admission n.	"{""headword"":""admission"",""explanation"":""名詞，具有多種含義：1. 「准許進入」或「入場券」；2. 「入學」；3. 「承認（錯誤或事實）」。注意 admission fee (入場費) 和 admission to (進入/入學...的許可) 的用法。"",""entries"":[{""sentence"":""The museum offers free <target>admission</target> to students on weekends, provided they show a valid student ID card at the gate."",""translation"":""博物館在週末向學生提供免費入場，前提是在門口出示有效的學生證。"",""explanation"":""名詞「入場」。常用搭配 free admission (免費入場)。""},{""sentence"":""Competition for <target>admission</target> <pattern>to</pattern> top universities is becoming more intense every year, forcing students to study even harder."",""translation"":""進入頂尖大學的競爭每年變得更加激烈，迫使學生更加努力地學習。"",""explanation"":""名詞「入學許可」。常用搭配 admission to university。""},{""sentence"":""The suspect's <target>admission</target> of the crime surprised the police, as he had previously denied everything during the interrogation."",""translation"":""嫌疑犯對罪行的承認讓警方感到驚訝，因為他之前在審問中否認了一切。"",""explanation"":""名詞「承認」。指對某事（通常是不好的事）的認可或承認。""},{""sentence"":""The <target>admission</target> <pattern>fee</pattern> for the art gallery is twenty dollars, but children under twelve can enter for free."",""translation"":""美術館的入場費是二十美元，但十二歲以下兒童可以免費進入。"",""explanation"":""名詞「入場費」。常用搭配 admission fee。""}],""related_forms"":[""admit""]}"	none		0
